NAME	X	Y	Cluster	Individual library (may be several per mouse)	Mouse	Timepoint
MOUSE_CELL_3479	2343.8502790177467	3670.293835845225	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3480	1655.8239017136925	3656.061365892168	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3481	1420.2981729050625	3645.2279560336	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3482	2306.956056136385	2985.4164151344194	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3483	2405.4503190962305	2900.5627837212805	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3484	2021.7451268344166	3757.5247814967506	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3485	1332.4896642663307	3930.4251592292867	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3486	1242.838092754646	3821.1016040113677	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3487	2143.8158266958176	3598.100545399011	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3488	1548.2704856775526	2246.3690527972294	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3489	2113.7007913425437	3578.537206700541	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3490	1452.2122753910216	3869.0730689186385	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3491	1236.2344914122386	4010.298020069682	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3492	1265.4082063220949	3718.0332384788126	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3493	2310.2244358021617	3613.7768045284047	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3494	2568.319653850861	3608.922758237475	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3495	1582.8072845958425	3350.7184096703563	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3496	2499.6244207640143	3712.6494438451036	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3497	2188.8187057601235	3618.784413434836	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3498	2306.798778659084	3627.126205793558	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3499	2405.2346928179877	2892.955043892124	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3500	2134.2621401385327	3742.1537123692833	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3501	1130.1321129956286	3986.582495737754	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3502	2164.847941966499	3597.3743214660876	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3503	1277.7783239497087	3580.5292956630556	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3504	1799.2986168677878	2853.175481776965	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3505	2188.6678783437333	3488.741749008539	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3506	1104.024594461811	4010.2419098472874	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3507	1486.3213442771341	3442.6501911086852	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3508	2138.2661377682807	3510.1935906069834	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3509	1924.4996317596951	3710.711256873279	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3510	1465.7377947876926	3781.963707624629	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3511	2439.0715001956423	3693.308732621356	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3512	1546.1312279289791	3981.896775444231	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3513	1627.9787577531401	3790.9924581497207	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3514	2142.867626942244	3625.2990066280463	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3515	2259.4242849463158	3547.0255759190127	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3516	1494.4556123728257	2924.5352120909506	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3517	2278.946756312371	3640.0595054501873	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3518	2032.668889802546	3604.4832150789434	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3519	1790.8059121743938	3587.86892238127	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3520	1485.6873253037088	2053.4663038857075	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3521	1827.868815410613	2801.584076918951	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3522	1756.225379809589	3860.810639385774	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3523	1642.6232024670066	3814.2230465844223	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3524	2495.3732166874834	3718.749096613884	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3525	2481.180177041786	2798.8377359673186	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3526	1508.1076693256268	4032.653384778755	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3527	1891.1388370076543	3833.7447444834097	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3528	2848.5100255079597	1534.809373528081	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3529	2848.1889441404373	1672.8008870597305	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3530	2137.6946031684874	3336.1199719159217	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3531	2597.9948535545345	2221.195326706864	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3532	1725.536966107994	2436.0081073609044	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3533	1141.164399959212	3842.1110921855175	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3534	1409.8776263346099	3755.211270718933	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3535	2023.6276195841433	3302.1893477547155	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3536	2302.8758022199027	3554.1368455288066	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3537	2363.6421275977427	3593.911839181534	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3538	1542.0491935334617	3890.258335937691	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3539	1939.0052825813073	3492.7153944038246	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3540	2074.4348346596553	3433.215927486733	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3541	2011.1927550627263	3553.538146017874	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3542	2321.680558005186	2925.586413089328	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3543	2171.9625027375823	3414.8815428697976	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3544	2345.8348836574723	3598.6226797914155	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3545	2232.1078289522698	3688.9880862038244	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3546	2217.6544642337494	3579.5435016812753	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3547	2397.52228624065	3599.962735836693	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3548	1813.087821468802	3704.0628715274956	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3549	1848.8955984774227	3773.324612089663	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3550	2035.5627557765738	3243.5917170511784	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3551	2605.0360193348884	3293.7592054499687	Krt4/13+	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3552	1959.588109725622	3684.6936087467734	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3553	1360.8408647518277	3749.301396483944	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3554	1663.31931688859	3658.4732637664397	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3555	1523.3235942283527	1950.468385161921	Cycling Basal (homeostasis)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3556	1796.0906981671556	3713.7709094069346	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3557	2538.283611729666	2369.6767992875602	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3558	2377.036486825222	3666.8801262991938	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3559	2173.2368145292285	3448.240336754734	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3560	2218.7385059142234	3610.3663546432417	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3561	1769.3762359821524	2742.740941789989	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3562	2220.003902090754	3621.7106671815327	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3563	2162.810881096705	3244.0598009241594	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3564	1822.0804417035165	3636.528037691066	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3565	2035.216687223227	3808.1078858369415	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3566	2663.146704001687	2104.189307702234	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3567	1593.7128826888684	3788.9965858893456	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3568	2255.317656247995	3641.662395951039	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3569	2531.2292189308855	3749.220434499962	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3570	1759.7786257047396	3801.39056412826	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3571	2404.7279450128494	3567.959944620009	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3572	2001.3904313728324	3801.4274667525087	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3573	2603.323383076413	3289.600662791037	Krt4/13+	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3574	1166.287384152848	3761.0714681414347	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3575	1961.2192984337407	3618.4259867628925	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3576	1898.5904272051575	3106.4695638237586	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3577	1722.8654754137626	3855.145405171609	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3578	2463.821403675776	3579.1935434758084	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3579	1342.021032383805	3987.9370216735615	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3580	1659.6268934855125	3189.1918876077298	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3581	2270.1138146932008	3558.684587199154	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3582	2040.6371319456623	3387.0994283648724	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3583	1865.0074166522656	2947.5816618229946	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3584	2066.8155884078565	3622.066039606251	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3585	1455.666147608499	2953.102898789335	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3586	2295.334293056754	3160.6874926769533	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3587	2022.6754525126871	3548.0516845651105	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3588	1877.9925617344775	3797.8314872315	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3589	1961.369426208987	3131.8198652830542	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3590	1649.0422611347135	3645.699655075052	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3591	2685.3109914660863	3664.7255988730594	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3592	2440.9267475983233	3654.718118761573	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3593	1546.3316045739496	2135.1998428510124	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3594	2650.6414874579696	3763.609759347987	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3595	1474.7975562417118	2352.2896694878245	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3596	1977.3707882879423	3245.991012739924	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3597	3073.699900119354	3975.1716730230855	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3598	2422.436025485732	3624.3836292034	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3599	1972.5044079183017	3281.8569763000733	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3600	1399.1918221000747	2733.7623996598572	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3601	1930.1625228543799	3217.598827639895	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3602	3484.760717991736	4074.54288374897	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3603	2011.023730517989	3069.7125399213146	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3604	1837.3904863871642	3683.0466568858	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3605	1955.4530479941718	3594.5268907158	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3606	2245.66238735602	3447.2629746359958	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3607	2256.408932726672	3572.535049367743	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3608	2902.97581692679	3972.295866301759	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3609	1154.0586458871774	3975.5747337586035	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3610	1530.483528844753	1955.597257970723	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3611	2242.0389719302166	3188.6630381768928	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3612	2121.578450676071	3653.3598526400215	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3613	2097.3703296054828	3626.3813836650825	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3614	1422.2011571954995	2072.2105419053287	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3615	1410.7577174785802	3995.6708513963895	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3616	2347.691149381936	3683.233641099984	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3617	1884.245539740979	3695.201741221631	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3618	2054.211061057712	3720.1943634036106	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3619	2001.7660470471073	3593.480160701516	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3620	1895.161523934665	3522.267381925732	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3621	1382.0004178514546	2510.765317795631	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3622	2395.2096329035785	3695.7193581964675	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3623	1781.975531283082	2705.451241363196	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3624	1281.1278008072582	3524.3828389201694	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3625	2372.3023189711303	3570.4599797802775	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3626	2122.3785890780855	3626.955115441223	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3627	2218.2869656773637	3480.1143701758465	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3628	1307.6142631411508	3736.3788665080356	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3629	1192.1414800712878	3674.253827513276	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3630	1430.339868385934	3532.4940465304276	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3631	2006.590758887034	3250.0704512047378	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3632	1859.4735225442732	3565.096764664214	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3633	2756.9641383534045	3486.79783954039	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3634	1963.042462901872	3698.6896776282033	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3635	1468.6155712453378	3812.0058464076756	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3636	2270.447999211856	3653.432727543477	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3637	1866.7849416607412	3723.0054606613103	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3638	1911.3982252075148	2852.2653663557962	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3639	2325.837085068155	3634.7742158664023	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3640	1237.6039419689982	3862.226659215624	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3641	2407.4645162673223	3541.091336956619	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3642	1072.198321909409	3889.052129438953	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3643	2467.007791071714	3450.4977559170734	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3644	2215.8759399948576	3661.1358774067785	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3645	1203.4091966935441	3891.2151223612755	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3646	1936.3817498610433	3342.867237526185	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3647	2830.1671236494444	1746.7736819656313	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3648	2473.7643228564693	2580.0543871226173	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3649	2481.7635670663585	2506.1453471337863	Pre-ciliated	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3650	1242.6008204187083	3839.6855810302573	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3651	1586.0902787171904	3432.069923404332	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3652	1322.8281039838535	3793.2431922915434	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3653	2283.4553215498563	3627.4102695005604	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3654	2329.407639103787	3295.98780056337	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3655	1763.167174305086	3665.4071205096225	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3656	2506.5196128372063	3685.6191918619315	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3657	2338.136552734457	3600.2961363937056	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3658	2011.605256978573	3563.7370757249278	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3659	2374.0680594159066	3599.236870798622	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3660	1462.448536173355	3868.5351421614787	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3661	2051.7435273152823	3493.160185885709	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3662	1534.8509251606379	2201.2028276335877	Cycling Basal (regeneration)	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3663	2342.354276933923	3682.2594227088434	Secretory	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3664	1627.7304716603462	3830.5303292863423	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
MOUSE_CELL_3665	2317.707396955865	3344.462188219946	Basal	nov2016_13_48hpi_mouse_id_61	48hpi_mouse_id_61	48hpi
